,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,zhangjiakou,40.81,114.88,22.96,83,2,3.56,CN,1607659961
120,torbay,47.67,-52.73,33.01,94,90,11.41,CA,1607659736
121,amga,60.9,131.96,-33.45,81,92,1.14,RU,1607659961
122,atambua,-9.11,124.89,86.76,59,69,6.35,ID,1607659961
123,lorengau,-2.02,147.27,84.43,73,100,6.24,PG,1607659961
124,namatanai,-3.67,152.43,84.47,69,92,11.63,PG,1607659961
125,sao joao da barra,20.51,76.21,73.53,46,90,13.65,IN,1607659962
126,hasaki,35.73,140.83,57.99,71,75,5.82,JP,1607659962
127,las navas,49.74,19.43,30.99,2,71,7.0,PL,1607659853
128,severo-kurilsk,50.68,156.12,26.94,93,77,14.34,RU,1607659942
129,frankfort,-27.27,28.48,64.65,65,8,5.39,ZA,1607659962
130,sakakah,29.97,40.21,48.2,70,0,8.05,SA,1607659958
131,georgetown,5.41,100.34,86.0,70,20,6.93,MY,1607659866
132,camopi,3.17,-52.32,72.03,97,73,1.25,GF,1607659963
133,iwata,34.7,137.85,64.0,54,75,3.36,JP,1607659678
134,hofn,64.25,-15.21,43.25,93,100,17.94,IS,1607659963
135,mayo,38.89,-76.51,39.2,100,1,7.23,US,1607659963
136,comodoro rivadavia,-13.66,-59.79,67.35,98,90,3.96,BR,1607659964
137,plattsburgh,44.7,-73.45,32.0,92,75,3.13,US,1607659964
138,vao,-22.67,167.48,77.94,86,90,20.51,NC,1607659913
139,biak,-0.91,122.88,86.58,61,10,1.03,ID,1607659964
140,arawa,-6.21,155.54,84.99,69,99,0.92,PG,1607659964
141,moron,-34.65,-58.62,84.0,46,40,7.0,AR,1607659964
142,altamont,42.21,-121.74,32.0,96,1,12.75,US,1607659965
143,salinas,36.68,-121.66,51.8,81,20,5.82,US,1607659732
144,mahibadhoo,3.78,72.97,82.36,70,35,4.5,MV,1607659965
145,college,64.86,-147.8,1.4,77,90,0.6,US,1607659965
146,palana,59.12,159.97,17.31,95,100,3.65,RU,1607659965
147,amuntai,-2.42,115.25,91.0,60,93,2.59,ID,1607659769
148,verkhoyansk,67.54,133.38,-36.99,77,84,1.23,RU,1607659966
149,bredasdorp,-34.53,20.04,59.0,87,100,3.36,ZA,1607659966
150,boddam,57.47,-1.78,44.6,93,100,23.04,GB,1607659966
151,petropavlovka,50.61,105.32,-3.05,80,0,3.47,RU,1607659966
152,alta floresta,69.97,23.27,24.8,85,30,13.87,NO,1607659967
153,chokurdakh,70.63,147.92,-29.92,85,92,4.45,RU,1607659967
154,brae,60.4,-1.35,44.6,87,100,36.91,GB,1607659967
155,cockburn town,-32.08,141.0,82.4,17,94,16.11,AU,1607659967
156,priargunsk,50.37,119.1,-5.89,85,0,3.13,RU,1607659968
157,salinopolis,-0.61,-47.36,78.87,80,79,9.84,BR,1607659968
158,bahia blanca,-12.0,-42.0,65.91,83,7,3.71,BR,1607659968
159,moshupa,-24.78,25.42,69.8,68,40,6.93,BW,1607659968
160,maceio,-9.67,-35.74,73.4,88,40,4.7,BR,1607659968
161,saint-philippe,-21.36,55.77,78.8,61,40,26.4,RE,1607659969
162,ribeira grande,42.75,-8.44,60.01,93,90,10.29,ES,1607659830
163,dwarahat,29.78,79.43,60.91,31,0,1.3,IN,1607659969
164,voh,-20.97,164.7,85.46,62,99,9.69,NC,1607659969
165,mabaruma,8.2,-59.78,72.16,94,9,2.37,GY,1607659969
166,mount isa,53.66,-1.85,43.0,97,100,3.0,GB,1607659897
167,pisco,-13.7,-76.22,64.4,93,0,6.93,PE,1607659969
168,hamada,34.88,132.08,50.0,81,75,6.93,JP,1607659970
169,perth,-31.93,115.83,87.8,40,0,13.87,AU,1607659802
170,melito di porto salvo,40.33,15.07,46.0,89,100,4.0,IT,1607659970
171,chuy,-33.7,-53.46,67.26,81,0,10.69,UY,1607659970
172,shingu,33.73,135.98,62.6,45,40,3.36,JP,1607659971
173,bathsheba,13.22,-59.52,77.0,83,20,11.41,BB,1607659971
174,omboue,-1.57,9.26,76.66,89,100,5.91,GA,1607659971
175,codrington,-38.27,141.97,62.15,62,0,18.45,AU,1607659971
176,bubaque,11.28,-15.83,80.49,65,0,6.82,GW,1607659971
177,zeya,53.75,127.27,2.08,85,100,4.43,RU,1607659972
178,lodja,-3.48,23.43,68.85,98,99,0.85,CD,1607659972
179,surt,31.21,16.59,54.54,41,0,14.56,LY,1607659972
180,hukuntsi,-24.0,21.75,77.95,42,30,11.45,BW,1607659972
181,bengkulu,-3.8,102.27,82.69,70,89,12.1,ID,1607659972
182,korla,41.76,86.15,28.71,87,0,2.01,CN,1607659973
183,srednekolymsk,67.45,153.68,-18.49,88,100,5.88,RU,1607659947
184,virginia beach,37.55,-77.45,41.0,86,1,5.82,US,1607659973
185,lugovoy,42.95,72.76,19.22,89,8,2.91,KZ,1607659973
186,sept-iles,50.2,-66.38,28.4,74,22,8.05,CA,1607659969
187,inirida,3.87,-67.92,74.66,92,87,2.75,CO,1607659974
188,castro,-24.79,-50.01,59.04,94,0,5.32,BR,1607659974
189,luderitz,-26.65,15.16,58.37,86,0,10.02,NA,1607659974
190,tabas,33.6,56.92,41.0,75,4,4.7,IR,1607659974
191,clyde river,41.3,-82.98,44.01,79,8,11.03,US,1607659805
192,nauta,-4.51,-73.58,74.44,95,85,1.81,PE,1607659975
193,ermoupolis,37.44,24.94,57.2,67,74,11.41,GR,1607659975
194,nhulunbuy,-12.23,136.77,91.4,52,20,10.29,AU,1607659975
195,paragominas,-2.97,-47.48,71.42,97,5,1.21,BR,1607659975
196,kahului,20.89,-156.47,84.2,51,40,8.05,US,1607659941
197,kodiak,57.79,-152.41,19.4,85,1,5.82,US,1607659976
198,provideniya,64.38,-173.3,14.0,72,90,20.13,RU,1607659976
199,vanavara,60.34,102.28,-29.76,84,41,2.51,RU,1607659976
200,awjilah,29.11,21.29,46.09,64,51,3.11,LY,1607659976
201,tessalit,20.2,1.01,59.86,25,45,10.25,ML,1607659977
202,pumiao,22.75,108.48,66.2,63,97,4.47,CN,1607659977
203,zhigansk,66.77,123.37,-31.94,83,99,9.08,RU,1607659977
204,bari,41.12,16.85,46.4,75,0,6.93,IT,1607659977
205,ayan,56.45,138.17,6.42,83,100,10.85,RU,1607659978
206,san rafael del sur,13.3,-4.9,69.8,24,0,8.52,ML,1607659906
207,tuatapere,-46.13,167.68,48.0,88,100,11.01,NZ,1607659794
208,namibe,-15.2,12.15,64.15,80,84,6.58,AO,1607659978
209,chuguyevka,44.17,133.86,24.37,88,84,4.9,RU,1607659978
210,cabedelo,-6.98,-34.83,73.4,94,20,4.7,BR,1607659978
211,islamkot,24.7,70.18,75.76,32,0,5.48,PK,1607659978
212,padang,-0.95,100.35,84.97,60,100,5.73,ID,1607659979
213,alice springs,27.75,-98.07,69.8,88,1,9.17,US,1607659786
214,zinder,13.81,8.99,70.95,22,15,8.9,NE,1607659980
215,magistralnyy,56.17,107.45,-12.35,85,93,3.02,RU,1607659980
216,petropavlovsk-kamchatskiy,53.05,158.65,26.6,45,43,2.24,RU,1607659980
217,bacolod,10.67,122.95,86.04,72,55,5.91,PH,1607659980
218,barcelos,41.54,-8.62,59.0,100,75,9.17,PT,1607659980
219,tiksi,71.69,128.87,-27.54,85,94,7.61,RU,1607659981
220,east london,65.0,-15.0,41.0,80,90,6.93,IS,1607659701
221,valleyview,55.07,-117.29,21.2,85,14,2.24,CA,1607659981
222,wencheng,33.06,113.8,51.82,45,47,8.14,CN,1607659981
223,aklavik,68.22,-135.01,-4.0,76,100,8.05,CA,1607659981
224,salalah,17.02,54.09,75.2,27,0,13.87,OM,1607659982
225,ostrovnoy,68.05,39.51,29.59,96,98,14.41,RU,1607659982
226,tautira,-17.73,-149.15,80.6,54,75,12.75,PF,1607659982
227,vestmannaeyjar,63.44,-20.27,44.73,88,100,15.03,IS,1607659982
228,dryden,49.78,-92.75,23.0,92,90,5.82,CA,1607659945
229,pervomayskoye,43.92,46.71,39.67,72,99,20.31,RU,1607659983
230,banda aceh,25.48,80.33,74.84,39,79,2.73,IN,1607659828
231,puerto escondido,36.59,-6.23,63.0,93,40,12.75,ES,1607659983
232,kampene,-3.6,26.67,67.86,93,100,1.79,CD,1607659983
233,blackfalds,52.38,-113.79,19.4,100,33,5.82,CA,1607659983
234,san patricio,13.3,-4.9,69.8,24,0,8.52,ML,1607659700
235,marsh harbour,53.65,-1.81,43.0,97,100,3.0,GB,1607659984
236,carnarvon,-24.87,113.63,80.6,78,78,19.46,AU,1607659984
237,bellavista,-7.06,-76.59,71.94,95,91,1.07,PE,1607659753
238,noumea,-22.28,166.46,86.0,62,60,12.75,NC,1607659984
239,vodyane,47.49,34.49,32.99,92,100,19.6,UA,1607659984
240,yaan,7.38,8.57,76.62,81,90,7.58,NG,1607659954
241,curuca,-0.73,-47.85,74.44,91,90,3.78,BR,1607659985
242,faanui,-16.48,-151.75,80.33,75,100,16.04,PF,1607659985
243,taoudenni,22.68,-3.98,56.86,34,32,11.68,ML,1607659985
244,nokaneng,-19.67,22.27,73.78,69,9,6.55,BW,1607659985
245,chapais,49.78,-74.85,23.0,100,90,8.05,CA,1607659986
246,puri,19.8,85.85,73.4,69,0,2.59,IN,1607659986
247,makakilo city,21.35,-158.09,80.6,69,20,5.82,US,1607659986
248,kaka,37.35,59.61,27.81,96,100,5.14,TM,1607659986
249,ahipara,-35.17,173.17,66.31,69,100,10.47,NZ,1607659986
250,port pirie,-7.03,29.76,71.02,74,94,7.87,CD,1607659941
251,cidreira,-30.18,-50.21,71.01,84,0,21.34,BR,1607659986
252,chimbote,-9.09,-78.58,67.55,83,100,6.76,PE,1607659987
253,souillac,-20.52,57.52,78.8,61,20,10.29,MU,1607659987
254,santa maria,17.49,120.43,85.98,65,0,5.1,PH,1607659799
255,dubbo,-32.25,148.62,80.6,34,2,20.8,AU,1607659790
256,ossora,59.24,163.07,27.0,95,100,19.75,RU,1607659987
257,aleksandrovsk-sakhalinskiy,50.9,142.16,19.96,92,94,2.55,RU,1607659987
258,dovbysh,50.37,27.99,36.95,96,100,14.29,UA,1607659988
259,komsomolskiy,40.43,71.72,28.4,86,94,4.7,UZ,1607659988
260,belmonte,-15.86,-38.88,75.2,83,20,6.93,BR,1607659988
261,hobyo,5.35,48.53,78.44,68,72,18.84,SO,1607659988
262,kribi,2.95,9.92,79.21,84,99,6.73,CM,1607659988
263,sao filipe,20.51,76.21,73.53,46,90,13.65,IN,1607659962
264,matara,5.95,80.54,83.53,67,42,1.74,LK,1607659989
265,alto vera,31.65,-95.07,62.6,77,1,13.87,US,1607659989
266,saint-georges,12.06,-61.75,77.0,83,20,6.93,GD,1607659820
267,ola,59.58,151.28,3.18,85,0,5.93,RU,1607659989
268,nagorsk,59.32,50.81,13.28,91,69,5.37,RU,1607659989
269,lexington park,37.99,-84.48,46.99,61,1,9.17,US,1607659990
270,kaeo,-35.1,173.78,73.99,54,100,10.0,NZ,1607659990
271,alcudia,39.85,3.12,50.0,87,0,5.82,ES,1607659990
272,ponta do sol,38.73,-28.27,60.1,98,22,24.38,PT,1607659990
273,qasigiannguit,68.82,-51.19,19.4,41,99,20.8,GL,1607659990
274,yaypan,40.38,70.82,38.88,72,96,3.29,UZ,1607659991
275,nagtipunan,16.22,121.6,86.25,59,27,2.21,PH,1607659991
276,kieta,-6.22,155.63,84.24,69,96,1.72,PG,1607659991
277,arman,59.7,150.17,1.92,85,0,7.67,RU,1607659991
278,lasa,46.62,10.7,28.0,85,5,1.12,IT,1607659991
279,matay,28.42,30.78,60.67,30,100,6.85,EG,1607659991
280,arcata,40.87,-124.08,45.0,87,40,3.36,US,1607659992
281,manggar,-2.88,108.27,85.64,70,100,12.26,ID,1607659992
282,kaitangata,-46.28,169.85,52.0,67,84,21.0,NZ,1607659992
283,mitsamiouli,-11.38,43.28,82.53,72,78,9.44,KM,1607659992
284,hanzhong,33.07,107.03,47.19,54,88,3.02,CN,1607659992
285,constitucion,-35.33,-72.42,52.02,78,0,7.18,CL,1607659856
286,gazojak,41.19,61.4,28.65,78,98,7.36,TM,1607659993
287,mirebalais,18.83,-72.11,77.0,78,71,12.75,HT,1607659993
288,lata,40.16,-8.33,57.99,97,100,7.0,PT,1607659993
289,san fernando,13.3,-4.9,69.8,24,0,8.52,ML,1607659700
290,richards bay,46.84,-95.91,30.2,86,90,9.17,US,1607659993
291,margate,51.38,1.39,46.99,89,100,8.01,GB,1607659994
292,inhambane,-23.86,35.38,78.8,69,20,6.93,MZ,1607659994
293,havre-saint-pierre,50.23,-63.6,24.8,92,90,2.24,CA,1607659994
294,katima mulilo,8.47,-12.01,73.35,97,53,1.74,SL,1607659994
295,carberry,49.87,-99.36,24.8,92,90,3.36,CA,1607659994
296,bodden town,51.2,-2.52,46.0,97,68,1.01,GB,1607659995
297,beloha,-25.17,45.05,80.73,59,10,8.43,MG,1607659995
298,sovetskiy,61.36,63.58,18.68,87,0,9.89,RU,1607659995
299,praia da vitoria,14.92,-23.51,71.6,73,20,13.87,CV,1607659935
300,nanortalik,60.14,-45.24,24.98,82,0,5.17,GL,1607659930
301,turukhansk,65.82,87.98,-25.6,82,29,6.29,RU,1607659995
302,artyom,40.47,50.33,37.4,73,75,6.93,AZ,1607659996
303,miraflores,19.22,-98.81,64.4,42,75,9.17,MX,1607659996
304,nuuk,64.18,-51.72,19.4,79,73,10.29,GL,1607659996
305,gravdal,68.12,13.5,38.44,75,12,9.22,NO,1607659996
306,ghanzi,-21.57,21.78,76.1,53,1,7.87,BW,1607659996
307,emerald,-23.53,148.17,84.2,37,74,5.82,AU,1607659996
308,dongkan,34.0,119.83,49.33,60,74,5.35,CN,1607659997
309,manokwari,-0.87,134.08,84.65,67,27,4.43,ID,1607659997
310,sitka,57.05,-135.33,37.4,74,40,6.62,US,1607659997
311,arona,28.1,-16.68,64.4,63,20,5.82,ES,1607659997
312,tamiahua,21.27,-97.45,69.64,87,0,12.37,MX,1607659997
313,zhezkazgan,47.8,67.71,2.19,93,19,9.13,KZ,1607659998
314,luanda,-8.84,13.23,77.0,83,75,6.93,AO,1607659998
315,boa vista,4.43,8.97,77.27,84,60,2.39,CM,1607659998
316,litovko,49.24,135.17,16.47,86,67,4.63,RU,1607659998
317,port-gentil,-0.72,8.78,79.57,82,100,10.16,GA,1607659998
318,san juan de arama,13.3,-4.9,69.8,24,0,8.52,ML,1607659906
319,kadnikov,59.5,40.34,12.09,95,58,5.3,RU,1607659999
320,narsaq,60.92,-46.05,14.0,43,0,4.7,GL,1607659999
321,prince rupert,52.97,-108.38,19.4,85,90,2.24,CA,1607659999
322,kiama,-34.68,150.87,66.2,45,75,14.99,AU,1607659999
323,funtua,11.52,7.31,68.7,27,1,8.19,NG,1607659999
324,chara,56.91,118.26,-11.58,85,100,1.39,RU,1607660000
325,pangnirtung,66.15,-65.71,10.96,82,74,5.06,CA,1607659962
326,nicolas de pierola,18.23,-73.82,73.44,85,12,5.44,HT,1607660000
327,marinette,45.1,-87.63,37.4,86,1,3.36,US,1607660000
328,hernani,43.27,-1.98,59.0,93,75,12.75,ES,1607660000
329,faya,18.39,42.45,48.2,87,0,1.25,SA,1607659983
330,maniitsoq,65.42,-52.9,20.88,86,98,7.4,GL,1607660001
331,genhe,50.78,121.52,-3.66,83,24,3.69,CN,1607660001
332,sandovo,58.46,36.41,17.85,92,89,8.86,RU,1607660001
333,mecca,21.43,39.83,71.04,40,0,4.88,SA,1607660001
334,ati,13.22,18.34,70.77,21,24,9.73,TD,1607660002
335,yerbogachen,61.28,108.01,-21.75,86,90,1.43,RU,1607660002
336,nome,64.5,-165.41,1.4,70,1,6.93,US,1607660002
337,half moon bay,6.38,-10.7,77.0,94,75,3.4,LR,1607660002
338,lebedinyy,58.52,125.52,-24.81,86,100,1.77,RU,1607660002
339,ribas do rio pardo,41.45,-8.02,57.0,92,100,7.0,PT,1607660003
340,jalu,29.03,21.55,45.61,78,71,2.19,LY,1607660003
341,sorland,67.67,12.69,40.96,77,28,11.63,NO,1607660003
342,saint-augustin,51.23,-58.65,32.07,98,100,7.27,CA,1607660004
343,pangoa,-12.12,-73.0,68.58,95,100,1.68,PE,1607660004
344,vila franca do campo,42.03,-8.16,55.99,96,100,14.0,PT,1607660004
345,tayzhina,53.67,87.44,11.28,96,100,10.36,RU,1607659862
346,port hardy,-7.03,29.76,71.02,74,94,7.87,CD,1607659941
347,lompoc,34.64,-120.46,48.2,93,75,6.78,US,1607660005
348,palmer,42.16,-72.33,30.0,92,20,3.02,US,1607660005
349,mount gambier,53.66,-1.85,43.0,97,100,3.0,GB,1607660005
350,semporna,4.48,118.61,86.0,74,20,4.7,MY,1607660005
351,nobeoka,32.58,131.67,53.01,61,0,7.0,JP,1607660006
352,peniche,39.36,-9.38,61.0,95,100,11.99,PT,1607659983
353,berbera,10.44,45.01,76.08,57,0,7.02,SO,1607660006
354,aden,12.78,45.04,77.4,69,14,9.55,YE,1607659927
355,toowoomba,-27.55,151.97,62.6,100,90,12.75,AU,1607660006
356,chitungwiza,-18.01,31.08,63.0,94,100,3.0,ZW,1607660007
357,magnor,59.95,12.2,32.0,95,100,4.7,SE,1607660007
358,fairbanks,64.84,-147.72,1.4,84,90,1.12,US,1607659826
359,paidha,2.42,30.99,61.68,70,33,4.12,UG,1607660007
360,ust-barguzin,53.45,108.98,-0.99,93,100,6.46,RU,1607660007
361,hammerfest,70.66,23.68,32.0,95,14,8.05,NO,1607659790
362,macau,22.2,113.55,71.6,73,40,2.24,MO,1607659991
363,poltavka,54.37,71.76,3.38,92,0,8.1,RU,1607660008
364,lagoa,39.05,-27.98,63.57,91,22,25.5,PT,1607660008
365,aloleng,16.13,119.78,85.73,66,7,3.4,PH,1607660008
